Feature 1,Feature 2,Feature 3,count,mean,std,min,25%,50%,75%,max
Packet Type,Device Type,Is Proxy,32.0000,0.0590,0.0586,0.0015,0.0262,0.0433,0.0699,0.2778
Packet Type,Packet Bin,Scale Packet Length,2874.0000,0.2661,0.1465,0.0000,0.1579,0.2500,0.3571,1.0000
Packet Type,Scale Packet Length,Global Source IP,3045.0000,0.3068,0.2186,0.0000,0.1667,0.2500,0.3846,1.0000
Packet Type,Scale Packet Length,Global Destination IP,3043.0000,0.3064,0.2189,0.0000,0.1667,0.2500,0.3846,1.0000
Packet Type,Scale Packet Length,Is Proxy,5741.0000,0.3890,0.2233,0.0000,0.2222,0.3333,0.5000,1.0000
Traffic Type,Malware Indicators,Month,72.0000,0.0441,0.0235,0.0049,0.0281,0.0394,0.0577,0.1205
Traffic Type,Malware Indicators,Day,186.0000,0.0677,0.0332,0.0053,0.0427,0.0680,0.0894,0.1572
Traffic Type,Malware Indicators,Hour,144.0000,0.0586,0.0305,0.0000,0.0376,0.0535,0.0798,0.1623
Traffic Type,Malware Indicators,Minute,360.0000,0.0929,0.0472,0.0000,0.0547,0.0917,0.1250,0.2255
Traffic Type,Malware Indicators,Second,360.0000,0.0966,0.0490,0.0078,0.0588,0.0909,0.1328,0.2473
Traffic Type,Malware Indicators,DayOfWeek,42.0000,0.0331,0.0162,0.0087,0.0215,0.0327,0.0420,0.0729
Traffic Type,Malware Indicators,Browser Name,54.0000,0.0468,0.0269,0.0050,0.0272,0.0386,0.0620,0.1027
Traffic Type,Malware Indicators,Browser Version,394.0000,0.1846,0.1588,0.0000,0.0882,0.1481,0.2350,1.0000
Traffic Type,Malware Indicators,Browser Minor,606.0000,0.2552,0.1447,0.0000,0.1538,0.2381,0.3333,0.8333
Traffic Type,Malware Indicators,Browser Patch,726.0000,0.2653,0.1464,0.0000,0.1538,0.2500,0.3750,0.8000
Traffic Type,Malware Indicators,OS Name,30.0000,0.0332,0.0177,0.0063,0.0201,0.0317,0.0440,0.0766
Traffic Type,Malware Indicators,OS Version,132.0000,0.0860,0.0761,0.0000,0.0363,0.0751,0.1137,0.5556
Traffic Type,Malware Indicators,OS Version Minor,84.0000,0.0764,0.0452,0.0000,0.0419,0.0718,0.1002,0.2177
Traffic Type,Malware Indicators,OS Version Patch,66.0000,0.0723,0.0424,0.0020,0.0399,0.0732,0.0971,0.2381
Traffic Type,Malware Indicators,Device Model,48.0000,0.0761,0.0995,0.0000,0.0255,0.0402,0.0634,0.5000
Traffic Type,Malware Indicators,Device Type,48.0000,0.0761,0.0995,0.0000,0.0255,0.0402,0.0634,0.5000
Traffic Type,Malware Indicators,Scale Packet Length,8549.0000,0.4880,0.2699,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,Alerts/Warnings,Month,72.0000,0.0404,0.0233,0.0055,0.0212,0.0393,0.0568,0.1031
Traffic Type,Alerts/Warnings,Day,186.0000,0.0660,0.0350,0.0078,0.0381,0.0625,0.0891,0.1814
Traffic Type,Alerts/Warnings,Hour,144.0000,0.0589,0.0277,0.0039,0.0374,0.0535,0.0792,0.1395
Traffic Type,Alerts/Warnings,Minute,360.0000,0.0933,0.0502,0.0000,0.0573,0.0849,0.1250,0.2617
Traffic Type,Alerts/Warnings,Second,360.0000,0.0896,0.0505,0.0000,0.0542,0.0821,0.1190,0.3118
Traffic Type,Alerts/Warnings,DayOfWeek,42.0000,0.0363,0.0188,0.0060,0.0250,0.0346,0.0439,0.0895
Traffic Type,Alerts/Warnings,Browser Name,54.0000,0.0480,0.0312,0.0028,0.0296,0.0436,0.0670,0.1494
Traffic Type,Alerts/Warnings,Browser Version,394.0000,0.1958,0.1839,0.0000,0.0866,0.1508,0.2400,1.0000
Traffic Type,Alerts/Warnings,Browser Minor,606.0000,0.2543,0.1452,0.0000,0.1429,0.2353,0.3333,0.8000
Traffic Type,Alerts/Warnings,Browser Patch,726.0000,0.2615,0.1547,0.0000,0.1538,0.2353,0.3571,1.0000
Traffic Type,Alerts/Warnings,OS Name,30.0000,0.0331,0.0176,0.0018,0.0208,0.0303,0.0454,0.0836
Traffic Type,Alerts/Warnings,OS Version,132.0000,0.0889,0.0773,0.0000,0.0383,0.0606,0.1167,0.4167
Traffic Type,Alerts/Warnings,OS Version Minor,84.0000,0.0753,0.0485,0.0000,0.0402,0.0721,0.0963,0.2262
Traffic Type,Alerts/Warnings,OS Version Patch,66.0000,0.0677,0.0369,0.0082,0.0413,0.0659,0.0902,0.1792
Traffic Type,Alerts/Warnings,Device Brand,24.0000,0.1038,0.1436,0.0117,0.0211,0.0266,0.0724,0.4286
Traffic Type,Alerts/Warnings,Device Model,48.0000,0.0903,0.1064,0.0028,0.0270,0.0558,0.0903,0.4286
Traffic Type,Alerts/Warnings,Device Type,48.0000,0.0903,0.1064,0.0028,0.0270,0.0558,0.0903,0.4286
Traffic Type,Alerts/Warnings,Scale Packet Length,8536.0000,0.4905,0.2677,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,Attack Signature,Month,72.0000,0.0405,0.0227,0.0018,0.0226,0.0358,0.0558,0.1090
Traffic Type,Attack Signature,Day,186.0000,0.0659,0.0327,0.0047,0.0402,0.0626,0.0867,0.1642
Traffic Type,Attack Signature,Hour,144.0000,0.0602,0.0311,0.0071,0.0376,0.0559,0.0819,0.1631
Traffic Type,Attack Signature,Minute,360.0000,0.0922,0.0500,0.0082,0.0564,0.0890,0.1176,0.2857
Traffic Type,Attack Signature,Second,360.0000,0.0920,0.0491,0.0000,0.0545,0.0884,0.1187,0.2680
Traffic Type,Attack Signature,Browser Name,54.0000,0.0454,0.0232,0.0038,0.0283,0.0461,0.0585,0.0939
Traffic Type,Attack Signature,Browser Version,393.0000,0.1785,0.1655,0.0000,0.0667,0.1407,0.2258,1.0000
Traffic Type,Attack Signature,Browser Minor,606.0000,0.2439,0.1458,0.0000,0.1333,0.2247,0.3333,0.7500
Traffic Type,Attack Signature,Browser Patch,726.0000,0.2684,0.1525,0.0000,0.1549,0.2500,0.3636,0.8750
Traffic Type,Attack Signature,OS Version,132.0000,0.0869,0.0793,0.0084,0.0387,0.0666,0.1101,0.5556
Traffic Type,Attack Signature,OS Version Minor,84.0000,0.0728,0.0456,0.0000,0.0353,0.0644,0.1076,0.1947
Traffic Type,Attack Signature,OS Version Patch,66.0000,0.0729,0.0449,0.0010,0.0364,0.0681,0.0968,0.1933
Traffic Type,Attack Signature,Device Model,48.0000,0.0845,0.1244,0.0042,0.0265,0.0450,0.0829,0.5714
Traffic Type,Attack Signature,Device Type,48.0000,0.0845,0.1244,0.0042,0.0265,0.0450,0.0829,0.5714
Traffic Type,Attack Signature,Scale Packet Length,8543.0000,0.4904,0.2728,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,Action Taken,Year,36.0000,0.0310,0.0166,0.0017,0.0228,0.0320,0.0361,0.0788
Traffic Type,Action Taken,Month,108.0000,0.0497,0.0261,0.0032,0.0281,0.0477,0.0678,0.1424
Traffic Type,Action Taken,Day,279.0000,0.0808,0.0445,0.0065,0.0460,0.0738,0.1063,0.2519
Traffic Type,Action Taken,Hour,216.0000,0.0731,0.0369,0.0058,0.0461,0.0691,0.0994,0.2296
Traffic Type,Action Taken,Minute,540.0000,0.1159,0.0600,0.0000,0.0745,0.1081,0.1520,0.4068
Traffic Type,Action Taken,Second,540.0000,0.1101,0.0591,0.0000,0.0644,0.1032,0.1433,0.3529
Traffic Type,Action Taken,DayOfWeek,63.0000,0.0382,0.0176,0.0048,0.0252,0.0385,0.0489,0.0864
Traffic Type,Action Taken,Browser Name,81.0000,0.0510,0.0352,0.0048,0.0244,0.0419,0.0690,0.1744
Traffic Type,Action Taken,Browser Version,588.0000,0.2224,0.1880,0.0000,0.1031,0.1791,0.2857,1.0000
Traffic Type,Action Taken,Browser Minor,909.0000,0.3193,0.1920,0.0000,0.1765,0.3000,0.4286,1.0000
Traffic Type,Action Taken,Browser Patch,1088.0000,0.3255,0.1899,0.0000,0.2000,0.3000,0.4286,1.0000
Traffic Type,Action Taken,OS Name,45.0000,0.0402,0.0240,0.0015,0.0234,0.0374,0.0572,0.1075
Traffic Type,Action Taken,OS Version,198.0000,0.0997,0.0898,0.0000,0.0436,0.0724,0.1265,0.5714
Traffic Type,Action Taken,OS Version Minor,126.0000,0.0878,0.0575,0.0000,0.0462,0.0788,0.1222,0.3243
Traffic Type,Action Taken,OS Version Patch,99.0000,0.0879,0.0573,0.0025,0.0518,0.0779,0.1133,0.3333
Traffic Type,Action Taken,Device Model,72.0000,0.1012,0.1285,0.0054,0.0277,0.0600,0.1004,0.6667
Traffic Type,Action Taken,Device Type,72.0000,0.1012,0.1285,0.0054,0.0277,0.0600,0.1004,0.6667
Traffic Type,Severity Level,Year,36.0000,0.0305,0.0133,0.0042,0.0215,0.0319,0.0396,0.0545
Traffic Type,Severity Level,Month,108.0000,0.0482,0.0301,0.0027,0.0267,0.0398,0.0654,0.1392
Traffic Type,Severity Level,Day,279.0000,0.0817,0.0425,0.0065,0.0476,0.0763,0.1111,0.2264
Traffic Type,Severity Level,Hour,216.0000,0.0741,0.0372,0.0000,0.0468,0.0708,0.1006,0.1878
Traffic Type,Severity Level,Minute,540.0000,0.1126,0.0577,0.0000,0.0656,0.1071,0.1507,0.2857
Traffic Type,Severity Level,Second,540.0000,0.1107,0.0593,0.0000,0.0673,0.1046,0.1512,0.3200
Traffic Type,Severity Level,DayOfWeek,63.0000,0.0389,0.0224,0.0015,0.0227,0.0361,0.0501,0.0957
Traffic Type,Severity Level,Browser Name,81.0000,0.0515,0.0298,0.0072,0.0272,0.0470,0.0635,0.1326
Traffic Type,Severity Level,Browser Version,589.0000,0.2188,0.1853,0.0000,0.0952,0.1739,0.2778,1.0000
Traffic Type,Severity Level,Browser Minor,909.0000,0.3138,0.1843,0.0000,0.1818,0.2857,0.4286,1.0000
Traffic Type,Severity Level,Browser Patch,1089.0000,0.3318,0.1990,0.0000,0.1818,0.3000,0.4444,1.0000
Traffic Type,Severity Level,OS Name,45.0000,0.0368,0.0229,0.0029,0.0201,0.0300,0.0498,0.1048
Traffic Type,Severity Level,OS Version,198.0000,0.1095,0.1011,0.0000,0.0446,0.0842,0.1380,0.8333
Traffic Type,Severity Level,OS Version Minor,126.0000,0.0952,0.0603,0.0036,0.0560,0.0791,0.1263,0.3137
Traffic Type,Severity Level,OS Version Patch,99.0000,0.0873,0.0588,0.0028,0.0380,0.0780,0.1209,0.2941
Traffic Type,Severity Level,Device Model,72.0000,0.1016,0.1507,0.0000,0.0269,0.0477,0.0975,0.8000
Traffic Type,Severity Level,Device Type,72.0000,0.1016,0.1507,0.0000,0.0269,0.0477,0.0975,0.8000
Traffic Type,Severity Level,Packet Bin,27.0000,0.0269,0.0144,0.0036,0.0203,0.0243,0.0318,0.0734
Traffic Type,Network Segment,Month,108.0000,0.0523,0.0271,0.0052,0.0324,0.0475,0.0676,0.1398
Traffic Type,Network Segment,Day,279.0000,0.0839,0.0408,0.0000,0.0545,0.0811,0.1088,0.2153
Traffic Type,Network Segment,Hour,216.0000,0.0709,0.0379,0.0054,0.0414,0.0651,0.0934,0.2021
Traffic Type,Network Segment,Minute,540.0000,0.1136,0.0601,0.0000,0.0684,0.1081,0.1500,0.3548
Traffic Type,Network Segment,Second,540.0000,0.1147,0.0612,0.0000,0.0688,0.1053,0.1502,0.4098
Traffic Type,Network Segment,DayOfWeek,63.0000,0.0378,0.0200,0.0032,0.0229,0.0392,0.0509,0.0915
Traffic Type,Network Segment,Browser Name,81.0000,0.0596,0.0352,0.0000,0.0351,0.0524,0.0777,0.1872
Traffic Type,Network Segment,Browser Version,589.0000,0.2187,0.1844,0.0000,0.1000,0.1739,0.2778,1.0000
Traffic Type,Network Segment,Browser Minor,909.0000,0.3079,0.1838,0.0000,0.1667,0.2857,0.4167,1.0000
Traffic Type,Network Segment,Browser Patch,1087.0000,0.3282,0.1933,0.0000,0.1818,0.3333,0.4444,1.0000
Traffic Type,Network Segment,OS Name,45.0000,0.0379,0.0218,0.0065,0.0227,0.0348,0.0502,0.0963
Traffic Type,Network Segment,OS Version,198.0000,0.1092,0.1146,0.0000,0.0473,0.0882,0.1280,1.0000
Traffic Type,Network Segment,OS Version Minor,126.0000,0.0946,0.0630,0.0000,0.0498,0.0864,0.1310,0.3208
Traffic Type,Network Segment,OS Version Patch,99.0000,0.0849,0.0510,0.0043,0.0443,0.0710,0.1188,0.2308
Traffic Type,Network Segment,Device Model,72.0000,0.1138,0.1574,0.0000,0.0301,0.0628,0.1217,1.0000
Traffic Type,Network Segment,Device Type,72.0000,0.1138,0.1574,0.0000,0.0301,0.0628,0.1217,1.0000
Traffic Type,Firewall Logs,Month,72.0000,0.0445,0.0251,0.0048,0.0262,0.0390,0.0594,0.1293
Traffic Type,Firewall Logs,Day,186.0000,0.0655,0.0362,0.0000,0.0385,0.0609,0.0855,0.1836
Traffic Type,Firewall Logs,Hour,144.0000,0.0556,0.0293,0.0000,0.0333,0.0541,0.0730,0.1475
Traffic Type,Firewall Logs,Minute,360.0000,0.0906,0.0473,0.0075,0.0537,0.0861,0.1186,0.2759
Traffic Type,Firewall Logs,Second,360.0000,0.0922,0.0451,0.0000,0.0576,0.0900,0.1250,0.2524
Traffic Type,Firewall Logs,DayOfWeek,42.0000,0.0346,0.0144,0.0059,0.0258,0.0342,0.0443,0.0618
Traffic Type,Firewall Logs,Browser Name,54.0000,0.0450,0.0226,0.0060,0.0255,0.0419,0.0593,0.1007
Traffic Type,Firewall Logs,Browser Version,395.0000,0.1854,0.1629,0.0000,0.0761,0.1569,0.2297,1.0000
Traffic Type,Firewall Logs,Browser Minor,606.0000,0.2519,0.1456,0.0000,0.1429,0.2353,0.3333,1.0000
Traffic Type,Firewall Logs,Browser Patch,726.0000,0.2658,0.1502,0.0000,0.1549,0.2500,0.3636,0.8182
Traffic Type,Firewall Logs,OS Name,30.0000,0.0317,0.0148,0.0040,0.0201,0.0311,0.0401,0.0640
Traffic Type,Firewall Logs,OS Version,132.0000,0.0849,0.0743,0.0000,0.0439,0.0656,0.1007,0.6250
Traffic Type,Firewall Logs,OS Version Minor,84.0000,0.0748,0.0484,0.0085,0.0378,0.0673,0.1090,0.2069
Traffic Type,Firewall Logs,OS Version Patch,66.0000,0.0782,0.0478,0.0059,0.0359,0.0726,0.1051,0.1897
Traffic Type,Firewall Logs,Device Model,48.0000,0.0763,0.0908,0.0000,0.0276,0.0422,0.0923,0.5000
Traffic Type,Firewall Logs,Device Type,48.0000,0.0763,0.0908,0.0000,0.0276,0.0422,0.0923,0.5000
Traffic Type,Firewall Logs,Scale Packet Length,8539.0000,0.4887,0.2727,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,IDS/IPS Alerts,Month,72.0000,0.0459,0.0234,0.0094,0.0309,0.0439,0.0568,0.1504
Traffic Type,IDS/IPS Alerts,Day,186.0000,0.0679,0.0333,0.0000,0.0398,0.0619,0.0943,0.1593
Traffic Type,IDS/IPS Alerts,Hour,144.0000,0.0617,0.0321,0.0036,0.0356,0.0569,0.0845,0.1514
Traffic Type,IDS/IPS Alerts,Minute,360.0000,0.0880,0.0452,0.0000,0.0522,0.0841,0.1191,0.2846
Traffic Type,IDS/IPS Alerts,Second,360.0000,0.0930,0.0500,0.0080,0.0573,0.0901,0.1224,0.2828
Traffic Type,IDS/IPS Alerts,DayOfWeek,42.0000,0.0320,0.0139,0.0091,0.0225,0.0310,0.0420,0.0615
Traffic Type,IDS/IPS Alerts,Browser Name,54.0000,0.0432,0.0246,0.0008,0.0257,0.0393,0.0665,0.0951
Traffic Type,IDS/IPS Alerts,Browser Version,394.0000,0.1846,0.1677,0.0000,0.0833,0.1429,0.2222,1.0000
Traffic Type,IDS/IPS Alerts,Browser Minor,606.0000,0.2543,0.1416,0.0000,0.1549,0.2343,0.3333,0.8333
Traffic Type,IDS/IPS Alerts,Browser Patch,726.0000,0.2588,0.1524,0.0000,0.1357,0.2500,0.3333,0.8000
Traffic Type,IDS/IPS Alerts,OS Version,132.0000,0.0959,0.0854,0.0043,0.0425,0.0730,0.1148,0.5000
Traffic Type,IDS/IPS Alerts,OS Version Minor,84.0000,0.0744,0.0461,0.0017,0.0377,0.0655,0.1066,0.1806
Traffic Type,IDS/IPS Alerts,OS Version Patch,66.0000,0.0741,0.0453,0.0031,0.0426,0.0623,0.0994,0.1724
Traffic Type,IDS/IPS Alerts,Device Model,48.0000,0.0823,0.1249,0.0010,0.0230,0.0371,0.0888,0.7500
Traffic Type,IDS/IPS Alerts,Device Type,48.0000,0.0823,0.1249,0.0010,0.0230,0.0371,0.0888,0.7500
Traffic Type,IDS/IPS Alerts,Scale Packet Length,8560.0000,0.4924,0.2738,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,Log Source,Month,72.0000,0.0412,0.0206,0.0047,0.0296,0.0395,0.0547,0.1003
Traffic Type,Log Source,Day,186.0000,0.0681,0.0374,0.0000,0.0389,0.0636,0.0956,0.1667
Traffic Type,Log Source,Hour,144.0000,0.0592,0.0308,0.0036,0.0379,0.0589,0.0772,0.1620
Traffic Type,Log Source,Minute,360.0000,0.0925,0.0486,0.0091,0.0593,0.0849,0.1231,0.2844
Traffic Type,Log Source,Second,360.0000,0.0904,0.0461,0.0000,0.0547,0.0865,0.1161,0.2477
Traffic Type,Log Source,Browser Name,54.0000,0.0435,0.0235,0.0084,0.0264,0.0386,0.0522,0.1241
Traffic Type,Log Source,Browser Version,394.0000,0.1864,0.1651,0.0000,0.0833,0.1500,0.2374,1.0000
Traffic Type,Log Source,Browser Minor,606.0000,0.2502,0.1456,0.0000,0.1429,0.2353,0.3333,0.8000
Traffic Type,Log Source,Browser Patch,726.0000,0.2686,0.1534,0.0000,0.1538,0.2500,0.3636,1.0000
Traffic Type,Log Source,OS Version,132.0000,0.0926,0.0783,0.0048,0.0370,0.0747,0.1159,0.4545
Traffic Type,Log Source,OS Version Minor,84.0000,0.0793,0.0490,0.0066,0.0426,0.0734,0.1069,0.2250
Traffic Type,Log Source,OS Version Patch,66.0000,0.0760,0.0431,0.0077,0.0458,0.0726,0.1055,0.1818
Traffic Type,Log Source,Device Model,48.0000,0.0948,0.1315,0.0073,0.0206,0.0411,0.0914,0.5556
Traffic Type,Log Source,Device Type,48.0000,0.0948,0.1315,0.0073,0.0206,0.0411,0.0914,0.5556
Traffic Type,Log Source,Scale Packet Length,8546.0000,0.4890,0.2720,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,Year,Month,138.0000,0.0593,0.0319,0.0042,0.0374,0.0561,0.0762,0.1856
Traffic Type,Year,Day,372.0000,0.0954,0.0503,0.0000,0.0574,0.0885,0.1308,0.2621
Traffic Type,Year,Hour,288.0000,0.0855,0.0444,0.0000,0.0503,0.0785,0.1167,0.2000
Traffic Type,Year,Minute,720.0000,0.1329,0.0685,0.0000,0.0830,0.1273,0.1741,0.4318
Traffic Type,Year,Second,720.0000,0.1306,0.0629,0.0000,0.0862,0.1226,0.1693,0.3913
Traffic Type,Year,DayOfWeek,84.0000,0.0474,0.0233,0.0060,0.0315,0.0462,0.0600,0.1122
Traffic Type,Year,Browser Name,108.0000,0.0626,0.0442,0.0058,0.0315,0.0531,0.0856,0.2294
Traffic Type,Year,Browser Version,779.0000,0.2508,0.2039,0.0000,0.1111,0.2105,0.3333,1.0000
Traffic Type,Year,Browser Minor,1211.0000,0.3589,0.2236,0.0000,0.2000,0.3333,0.5000,1.0000
Traffic Type,Year,Browser Patch,1447.0000,0.3878,0.2337,0.0000,0.2064,0.3333,0.5000,1.0000
Traffic Type,Year,OS Name,60.0000,0.0458,0.0268,0.0043,0.0262,0.0392,0.0655,0.1067
Traffic Type,Year,OS Version,264.0000,0.1290,0.1193,0.0000,0.0552,0.0922,0.1552,0.8000
Traffic Type,Year,OS Version Minor,168.0000,0.1019,0.0626,0.0000,0.0536,0.0915,0.1466,0.3585
Traffic Type,Year,OS Version Patch,132.0000,0.1120,0.0764,0.0041,0.0502,0.1007,0.1567,0.3636
Traffic Type,Year,Device Model,96.0000,0.1216,0.1663,0.0000,0.0316,0.0645,0.1317,1.0000
Traffic Type,Year,Device Type,96.0000,0.1216,0.1663,0.0000,0.0316,0.0645,0.1317,1.0000
Traffic Type,Month,Day,1098.0000,0.1652,0.0915,0.0000,0.0970,0.1566,0.2222,0.5588
Traffic Type,Month,Hour,864.0000,0.1463,0.0793,0.0000,0.0851,0.1360,0.1938,0.5455
Traffic Type,Month,Minute,2160.0000,0.2286,0.1253,0.0000,0.1364,0.2105,0.3000,0.8462
Traffic Type,Month,Second,2160.0000,0.2256,0.1194,0.0000,0.1333,0.2143,0.2941,0.7143
Traffic Type,Month,DayOfWeek,252.0000,0.0801,0.0417,0.0000,0.0479,0.0762,0.1077,0.2129
Traffic Type,Month,IsWeekend,72.0000,0.0473,0.0253,0.0058,0.0283,0.0452,0.0596,0.1446
Traffic Type,Month,Browser Name,324.0000,0.0992,0.0668,0.0000,0.0510,0.0814,0.1308,0.4737
Traffic Type,Month,Browser Version,2257.0000,0.4174,0.2827,0.0000,0.2000,0.3636,0.6667,1.0000
Traffic Type,Month,Browser Patch Minor,72.0000,0.0483,0.0296,0.0064,0.0248,0.0413,0.0682,0.1374
Traffic Type,Month,OS Name,180.0000,0.0737,0.0392,0.0064,0.0447,0.0699,0.1029,0.2182
Traffic Type,Month,OS Version,785.0000,0.2051,0.1885,0.0000,0.0833,0.1538,0.2500,1.0000
Traffic Type,Month,OS Version Minor,504.0000,0.1811,0.1165,0.0000,0.0922,0.1650,0.2500,0.6250
Traffic Type,Month,OS Version Patch,396.0000,0.1690,0.1116,0.0000,0.0833,0.1500,0.2328,0.6364
Traffic Type,Month,Device Brand,136.0000,0.1966,0.3067,0.0000,0.0334,0.0636,0.1240,1.0000
Traffic Type,Month,Device Model,280.0000,0.1949,0.2338,0.0000,0.0640,0.1152,0.2096,1.0000
Traffic Type,Month,Device Type,280.0000,0.1949,0.2338,0.0000,0.0640,0.1152,0.2096,1.0000
Traffic Type,Month,Packet Bin,108.0000,0.0515,0.0325,0.0036,0.0272,0.0472,0.0659,0.1489
Traffic Type,Month,Global Source IP,71.0000,0.2298,0.2548,0.0000,0.0227,0.0537,0.4000,0.8000
Traffic Type,Month,Global Destination IP,72.0000,0.2915,0.3321,0.0000,0.0231,0.0579,0.5786,1.0000
Traffic Type,Month,Is Proxy,72.0000,0.0407,0.0233,0.0020,0.0227,0.0357,0.0568,0.1053
Traffic Type,Day,Hour,2232.0000,0.2339,0.1240,0.0000,0.1429,0.2222,0.3125,0.7500
Traffic Type,Day,Minute,5573.0000,0.3907,0.2224,0.0000,0.2222,0.3333,0.5000,1.0000
Traffic Type,Day,Second,5574.0000,0.3837,0.2216,0.0000,0.2222,0.3333,0.5000,1.0000
Traffic Type,Day,DayOfWeek,651.0000,0.1248,0.0685,0.0000,0.0758,0.1176,0.1633,0.4615
Traffic Type,Day,IsWeekend,186.0000,0.0752,0.0424,0.0000,0.0436,0.0718,0.0993,0.2283
Traffic Type,Day,Browser Name,837.0000,0.1672,0.1181,0.0000,0.0833,0.1358,0.2174,0.7500
Traffic Type,Day,Browser Patch Minor,186.0000,0.0782,0.0443,0.0056,0.0453,0.0697,0.1010,0.2625
Traffic Type,Day,OS Name,465.0000,0.1230,0.0747,0.0000,0.0695,0.1094,0.1562,0.4667
Traffic Type,Day,OS Version,1989.0000,0.3248,0.2566,0.0000,0.1429,0.2500,0.4375,1.0000
Traffic Type,Day,OS Version Minor,1300.0000,0.3014,0.2080,0.0000,0.1429,0.2500,0.4167,1.0000
Traffic Type,Day,OS Version Patch,1022.0000,0.3008,0.2031,0.0000,0.1336,0.2727,0.4286,1.0000
Traffic Type,Day,OS Version Patch Minor,93.0000,0.0486,0.0230,0.0093,0.0310,0.0485,0.0594,0.1225
Traffic Type,Day,Device Brand,323.0000,0.2025,0.2783,0.0000,0.0570,0.0976,0.1654,1.0000
Traffic Type,Day,Device Model,694.0000,0.2503,0.2481,0.0000,0.0909,0.1667,0.3052,1.0000
Traffic Type,Day,Device Type,694.0000,0.2503,0.2481,0.0000,0.0909,0.1667,0.3052,1.0000
Traffic Type,Day,Packet Bin,279.0000,0.0889,0.0484,0.0000,0.0553,0.0841,0.1171,0.2958
Traffic Type,Day,Global Source IP,175.0000,0.3753,0.3875,0.0000,0.0456,0.0868,0.6667,1.0000
Traffic Type,Day,Global Destination IP,172.0000,0.3556,0.3996,0.0000,0.0440,0.0701,0.6667,1.0000
Traffic Type,Day,Is Proxy,186.0000,0.0694,0.0374,0.0000,0.0439,0.0631,0.0943,0.1898
Traffic Type,Hour,Minute,4319.0000,0.3354,0.1889,0.0000,0.2000,0.3077,0.4444,1.0000
Traffic Type,Hour,Second,4319.0000,0.3329,0.1912,0.0000,0.2000,0.3077,0.4444,1.0000
Traffic Type,Hour,DayOfWeek,504.0000,0.1104,0.0599,0.0000,0.0629,0.1069,0.1494,0.2989
Traffic Type,Hour,IsWeekend,144.0000,0.0654,0.0360,0.0048,0.0378,0.0606,0.0881,0.1543
Traffic Type,Hour,Browser Name,648.0000,0.1444,0.0934,0.0000,0.0754,0.1250,0.1926,0.6667
Traffic Type,Hour,Browser Patch Minor,144.0000,0.0671,0.0487,0.0022,0.0319,0.0578,0.0894,0.2697
Traffic Type,Hour,OS Name,360.0000,0.0997,0.0559,0.0105,0.0593,0.0909,0.1282,0.2836
Traffic Type,Hour,OS Version,1549.0000,0.2854,0.2371,0.0000,0.1250,0.2174,0.3684,1.0000
Traffic Type,Hour,OS Version Minor,1008.0000,0.2648,0.1711,0.0000,0.1364,0.2279,0.3684,1.0000
Traffic Type,Hour,OS Version Patch,792.0000,0.2567,0.1640,0.0000,0.1333,0.2222,0.3461,0.8333
Traffic Type,Hour,OS Version Patch Minor,72.0000,0.0433,0.0229,0.0124,0.0227,0.0393,0.0606,0.1241
Traffic Type,Hour,Device Brand,257.0000,0.2051,0.3085,0.0000,0.0529,0.0809,0.1379,1.0000
Traffic Type,Hour,Device Model,545.0000,0.2291,0.2410,0.0000,0.0749,0.1475,0.2692,1.0000
Traffic Type,Hour,Device Type,545.0000,0.2291,0.2410,0.0000,0.0749,0.1475,0.2692,1.0000
Traffic Type,Hour,Packet Bin,216.0000,0.0765,0.0416,0.0062,0.0443,0.0735,0.1038,0.2361
Traffic Type,Hour,Global Source IP,140.0000,0.3438,0.3761,0.0000,0.0328,0.0742,0.6667,1.0000
Traffic Type,Hour,Global Destination IP,138.0000,0.3417,0.3767,0.0000,0.0351,0.0765,0.6667,1.0000
Traffic Type,Hour,Is Proxy,144.0000,0.0602,0.0305,0.0000,0.0383,0.0589,0.0771,0.1667
Traffic Type,Minute,Second,10531.0000,0.5516,0.2933,0.0000,0.3333,0.5000,0.7500,1.0000
Traffic Type,Minute,DayOfWeek,1260.0000,0.1772,0.0910,0.0000,0.1079,0.1667,0.2400,0.5667
Traffic Type,Minute,IsWeekend,360.0000,0.1004,0.0606,0.0000,0.0547,0.0843,0.1352,0.3571
Traffic Type,Minute,Browser Name,1620.0000,0.2371,0.1629,0.0000,0.1250,0.2000,0.3077,1.0000
Traffic Type,Minute,Browser Patch Minor,360.0000,0.1081,0.0734,0.0000,0.0566,0.0909,0.1483,0.4516
Traffic Type,Minute,OS Name,900.0000,0.1629,0.1038,0.0000,0.0882,0.1429,0.2123,0.6667
Traffic Type,Minute,OS Version,3679.0000,0.4173,0.2864,0.0000,0.2000,0.3333,0.5714,1.0000
Traffic Type,Minute,OS Version Minor,2476.0000,0.4346,0.2874,0.0000,0.2000,0.4000,0.6667,1.0000
Traffic Type,Minute,OS Version Patch,1957.0000,0.4181,0.2745,0.0000,0.2000,0.3750,0.6000,1.0000
